time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	1.41417e-05	33522.9
1	1.41417e-05	2.86508e-05	26491.2
2	2.86508e-05	4.35468e-05	3889.67
3	4.35468e-05	5.8851e-05	1620.82
4	5.8851e-05	7.45864e-05	990.083
5	7.45864e-05	9.07779e-05	862.1
6	9.07779e-05	0.000107453	946.196
7	0.000107453	0.000124641	1093.68
8	0.000124641	0.000142375	1219.14
9	0.000142375	0.00016069	1298.53
10	0.00016069	0.000179626	1334.12
11	0.000179626	0.000199227	1328.2
12	0.000199227	0.000219541	1285.88
13	0.000219541	0.000240622	1218.63
14	0.000240622	0.000262529	1140.38
15	0.000262529	0.000285331	1062.65
16	0.000285331	0.000309103	992.837
17	0.000309103	0.000333933	934.706
18	0.000333933	0.000359917	889.597
19	0.000359917	0.00038717	857.56
20	0.00038717	0.000415821	838.148
21	0.000415821	0.000446021	830.724
22	0.000446021	0.000477948	834.632
23	0.000477948	0.000511811	849.21
24	0.000511811	0.00054786	873.763
25	0.00054786	0.000586397	907.684
26	0.000586397	0.000627791	950.323
27	0.000627791	0.000672501	1001.02
28	0.000672501	0.000721103	1058.87
29	0.000721103	0.00077434	1122.55
30	0.00077434	0.000833191	1189.59
31	0.000833191	0.000898981	1255.3
32	0.000898981	0.000973567	1310.51
33	0.000973567	0.00105967	1337.94
34	0.00105967	0.00116151	1307.53
35	0.00116151	0.00128615	1175.78
36	0.00128615	0.00144684	907.868
37	0.00144684	0.00167332	545.229
38	0.00167332	0.00206049	244.249
39	0.00206049	inf	0.369667
