time_index	left_time_boundary	right_time_boundary	lambda_00
0	-0	5.6138e-06	29846.9
1	5.6138e-06	1.12846e-05	29846.9
2	1.12846e-05	1.70135e-05	34726.1
3	1.70135e-05	2.28019e-05	34726.1
4	2.28019e-05	2.86508e-05	7272.54
5	2.86508e-05	3.45616e-05	7272.54
6	3.45616e-05	4.05357e-05	3732.72
7	4.05357e-05	4.65743e-05	3732.72
8	4.65743e-05	5.26789e-05	1811.81
9	5.26789e-05	5.8851e-05	1811.81
10	5.8851e-05	6.50921e-05	1056.01
11	6.50921e-05	7.14036e-05	1056.01
12	7.14036e-05	7.77873e-05	766.914
13	7.77873e-05	8.42449e-05	766.914
14	8.42449e-05	9.07779e-05	692.305
15	9.07779e-05	9.73882e-05	692.305
16	9.73882e-05	0.000104078	731.904
17	0.000104078	0.000110848	731.904
18	0.000110848	0.000117702	823.745
19	0.000117702	0.000124641	823.745
20	0.000124641	0.000131667	920.217
21	0.000131667	0.000138783	920.217
22	0.000138783	0.00014599	994.41
23	0.00014599	0.000153292	994.41
24	0.000153292	0.00016069	1044.02
25	0.00016069	0.000168188	1044.02
26	0.000168188	0.000175787	1073.87
27	0.000175787	0.000183492	1073.87
28	0.000183492	0.000191304	1084.76
29	0.000191304	0.000199227	1084.76
30	0.000199227	0.000207264	1075.73
31	0.000207264	0.000215419	1075.73
32	0.000215419	0.000223694	1047.89
33	0.000223694	0.000232094	1047.89
34	0.000232094	0.000240622	1005.71
35	0.000240622	0.000249282	1005.71
36	0.000249282	0.000258078	955.148
37	0.000258078	0.000267016	955.148
38	0.000267016	0.000276098	901.857
39	0.000276098	0.000285331	901.857
40	0.000285331	0.000294719	850.048
41	0.000294719	0.000304267	850.048
42	0.000304267	0.000313982	802.429
43	0.000313982	0.000323868	802.429
44	0.000323868	0.000333933	760.442
45	0.000333933	0.000344182	760.442
46	0.000344182	0.000354623	724.846
47	0.000354623	0.000365262	724.846
48	0.000365262	0.000376109	695.998
49	0.000376109	0.00038717	695.998
50	0.00038717	0.000398454	673.962
51	0.000398454	0.000409972	673.962
52	0.000409972	0.000421732	658.701
53	0.000421732	0.000433744	658.701
54	0.000433744	0.000446021	650.011
55	0.000446021	0.000458574	650.011
56	0.000458574	0.000471415	647.587
57	0.000471415	0.000484558	647.587
58	0.000484558	0.000498018	651.017
59	0.000498018	0.000511811	651.017
60	0.000511811	0.000525952	659.81
61	0.000525952	0.000540462	659.81
62	0.000540462	0.000555358	673.444
63	0.000555358	0.000570662	673.444
64	0.000570662	0.000586397	691.418
65	0.000586397	0.000602589	691.418
66	0.000602589	0.000619264	713.174
67	0.000619264	0.000636452	713.174
68	0.000636452	0.000654185	738.217
69	0.000654185	0.000672501	738.217
70	0.000672501	0.000691437	766.029
71	0.000691437	0.000711038	766.029
72	0.000711038	0.000731352	796.073
73	0.000731352	0.000752432	796.073
74	0.000752432	0.00077434	827.704
75	0.00077434	0.000797142	827.704
76	0.000797142	0.000820914	860.072
77	0.000820914	0.000845743	860.072
78	0.000845743	0.000871728	891.733
79	0.000871728	0.000898981	891.733
80	0.000898981	0.000927631	920.114
81	0.000927631	0.000957832	920.114
82	0.000957832	0.000989759	940.579
83	0.000989759	0.00102362	940.579
84	0.00102362	0.00105967	945.149
85	0.00105967	0.00109821	945.149
86	0.00109821	0.0011396	921.141
87	0.0011396	0.00118431	921.141
88	0.00118431	0.00123291	850.727
89	0.00123291	0.00128615	850.727
90	0.00128615	0.001345	715.356
91	0.001345	0.00141079	715.356
92	0.00141079	0.00148538	512.922
93	0.00148538	0.00157148	512.922
94	0.00157148	0.00167332	285.538
95	0.00167332	0.00179796	285.538
96	0.00179796	0.00195865	113.103
97	0.00195865	0.00218513	113.103
98	0.00218513	0.0025723	54.07
99	0.0025723	inf	54.07
